site,trial,direction,force_n,adc,pressure_kpa,data_source,notes
met1,trial3,unloading,0.5000,929,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial3,unloading,0.0000,4,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,0.0000,3,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,0.5000,844,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,1.0000,1308,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,2.0000,1799,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,3.5000,2384,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,5.0000,2648,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,7.5000,2953,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,10.0000,3133,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,15.0000,3345,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,20.0000,3523,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,25.0000,3462,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,loading,30.0000,3585,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,30.0000,3632,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,25.0000,3598,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,20.0000,3585,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,15.0000,3508,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,10.0000,3234,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,7.5000,2989,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,5.0000,2714,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,3.5000,2442,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,2.0000,1952,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,1.0000,1383,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,0.5000,906,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial4,unloading,0.0000,4,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,0.0000,5,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,0.5000,848,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,1.0000,1307,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,2.0000,1916,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,3.5000,2301,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,5.0000,2648,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,7.5000,2922,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,10.0000,3136,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,15.0000,3360,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,20.0000,3458,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,25.0000,3581,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,loading,30.0000,3612,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,30.0000,3530,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,25.0000,3663,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,20.0000,3620,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,15.0000,3547,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,10.0000,3247,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,7.5000,3106,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,5.0000,2751,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,3.5000,2456,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,2.0000,2030,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,1.0000,1403,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,0.5000,919,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met1,trial5,unloading,0.0000,5,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,0.0000,2,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,0.5000,928,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,1.0000,1424,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,2.0000,2040,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,3.5000,2549,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,5.0000,2852,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,7.5000,3094,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,10.0000,3336,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,15.0000,3598,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,20.0000,3623,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,25.0000,3611,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,loading,30.0000,3549,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,30.0000,3589,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,25.0000,3664,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,20.0000,3597,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,15.0000,3561,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,10.0000,3389,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,7.5000,3184,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,5.0000,2843,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,3.5000,2555,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,2.0000,2089,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,1.0000,1526,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,0.5000,995,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial1,unloading,0.0000,2,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,0.0000,2,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,0.5000,914,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,1.0000,1447,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,2.0000,2030,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,3.5000,2509,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,5.0000,2795,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,7.5000,3126,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,10.0000,3313,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,15.0000,3441,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,20.0000,3672,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,25.0000,3530,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,loading,30.0000,3656,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,30.0000,3762,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,25.0000,3577,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,20.0000,3635,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,15.0000,3536,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,10.0000,3240,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,7.5000,3184,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,5.0000,2894,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,3.5000,2572,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,2.0000,2141,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,1.0000,1465,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,0.5000,956,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial2,unloading,0.0000,2,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,0.0000,3,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,0.5000,906,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,1.0000,1383,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,2.0000,1989,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,3.5000,2470,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,5.0000,2834,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,7.5000,3081,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,10.0000,3249,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,15.0000,3522,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,20.0000,3619,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,25.0000,3681,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,loading,30.0000,3564,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,30.0000,3750,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,25.0000,3682,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,20.0000,3617,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,15.0000,3580,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,10.0000,3427,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,7.5000,3165,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,5.0000,2885,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,3.5000,2594,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,2.0000,2061,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,1.0000,1536,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,0.5000,994,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial3,unloading,0.0000,3,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,0.0000,3,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,0.5000,946,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,1.0000,1423,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,2.0000,2014,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,3.5000,2477,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,5.0000,2915,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,7.5000,3139,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,10.0000,3322,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,15.0000,3509,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,20.0000,3536,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,25.0000,3669,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,loading,30.0000,3627,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,30.0000,3650,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,25.0000,3735,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,20.0000,3634,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,15.0000,3508,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,10.0000,3259,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,7.5000,3108,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,5.0000,2895,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,3.5000,2621,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,2.0000,2135,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,1.0000,1494,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,0.5000,980,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial4,unloading,0.0000,3,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,0.0000,0,0.00,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,0.5000,916,3.94,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,1.0000,1425,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,2.0000,1980,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,3.5000,2583,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,5.0000,2789,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,7.5000,3072,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,10.0000,3341,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,15.0000,3461,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,20.0000,3568,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,25.0000,3560,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,loading,30.0000,3677,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,30.0000,3646,236.22,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,25.0000,3711,196.85,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,20.0000,3620,157.48,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,15.0000,3493,118.11,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,10.0000,3403,78.74,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,7.5000,3212,59.06,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,5.0000,2863,39.37,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,3.5000,2590,27.56,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,2.0000,2140,15.75,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
met2,trial5,unloading,1.0000,1490,7.87,bench,operator-attested FSR load measurement; LLM synthetic stamps removed 2026-09-01
